"variable","value","quarter0","quarter1","product"
"expshare_matched0",0.98254438113255,2021-06-01,2021-09-01,"desktop"
"expshare_matched1",0.941567598918741,2021-06-01,2021-09-01,"desktop"
"expshare_disappearing0",0.0174556188674501,2021-06-01,2021-09-01,"desktop"
"expshare_new1",0.058432401081259,2021-06-01,2021-09-01,"desktop"
"MMT_price_ln",-0.00697575555488007,2021-06-01,2021-09-01,"desktop"
"MMT_comp_ln",0.0212465057677415,2021-06-01,2021-09-01,"desktop"
"MMT_entry_ln",0.00288749291143642,2021-06-01,2021-09-01,"desktop"
"MMT_exit_ln",-0.00575685020334493,2021-06-01,2021-09-01,"desktop"
"MMT_quality_ln",0.0298908488825229,2021-06-01,2021-09-01,"desktop"
"TPD_price_ln",-0.00574013042823447,2021-06-01,2021-09-01,"desktop"
"TPD_entry_ln",0.0458965866496953,2021-06-01,2021-09-01,"desktop"
"TPD_exit_ln",0.0108393755036835,2021-06-01,2021-09-01,"desktop"
"TPD_comp_ln",-0.00640198739013508,2021-06-01,2021-09-01,"desktop"
"TPD_quality_ln",0.0286552237558767,2021-06-01,2021-09-01,"desktop"
"cewgmp_ln",0.0229150933276433,2021-06-01,2021-09-01,"desktop"
"GEKST_price_ln",-0.000398573581163621,2021-06-01,2021-09-01,"desktop"
"GEKST_comp_ln",0.062676572951415,2021-06-01,2021-09-01,"desktop"
"GEKST_entry_ln",-0.0152934109000371,2021-06-01,2021-09-01,"desktop"
"GEKST_exit_ln",0.0240694951425721,2021-06-01,2021-09-01,"desktop"
"GEKST_quality_ln",0.0233136669088058,2021-06-01,2021-09-01,"desktop"
"expshare_matched0",0.963720877722932,2021-09-01,2021-12-01,"desktop"
"expshare_matched1",0.950108845937976,2021-09-01,2021-12-01,"desktop"
"expshare_disappearing0",0.0362791222770677,2021-09-01,2021-12-01,"desktop"
"expshare_new1",0.0498911540620237,2021-09-01,2021-12-01,"desktop"
"MMT_price_ln",-0.0104510914540673,2021-09-01,2021-12-01,"desktop"
"MMT_comp_ln",-0.0107196863988889,2021-09-01,2021-12-01,"desktop"
"MMT_entry_ln",-0.0107018159197061,2021-09-01,2021-12-01,"desktop"
